Domain,Objective,Subsection,Subsection Objective,Resources,1,2,3,4
Financial Management,To assess the quality of the organization’s financial system and policies and procedures and the staff’s knowledge of the system.,Audits,To assess whether the organization undergoes routine audits that meet statutory and donor requirements and has a system for addressing audit findings.,"financial audit reports, post-audit management plans, financial manual staff interviews","The organization has
•	No internal or external auditing system
•	Not complied with statutory and/or donor auditing requirements","The organization has
•	A basic audit/review system, but auditing requirements and deadlines are not adhered to
•	Completed a recent statutory and/or donor audit, but the scope of the audit does not meet requirements
•	Not implemented previous audit report recommendations
•	Not shared audit reports with board members and other stakeholders","The organization has
•	A good system for managing audits; audit findings and recommendations are generally addressed
•	Consistently complied with its statutory and donor audit requirements in a timely manner
•	No internal audit function that regularly assesses risk or reviews and updates financial management systems to reflect the changing environment
•	Not shared audit reports with board members and other stakeholders","The organization has
•	A complete and appropriate system for managing audits; audit findings and recommendations are systematically addressed
•	A written narrative of its audit systems in the finance manual
•	Consistently complied with its statutory and donor audit requirements in a timely manner
•	An internal audit function that assesses risk and updates financial management systems as needed
•	Consistently shared audit reports with board members and other stakeholders"
Financial Management,To assess the quality of the organization’s financial system and policies and procedures and the staff’s knowledge of the system.,Cost Share,"To assess whether the organization has systems to track, report, and document cost share in compliance with donor regulations.","approved grant agreements/budgets, cost-sharing plan and procedures, cost-share vouchers","The organization has
•	No documented cost-sharing procedures
•	No cost-share plan","The organization has
•	Documented some cost-share procedures
•	Procedures that are incomplete and/or inappropriate
•	An inconsistent accounting system for entering and reporting on cost share
•	No cost-share plan","The organization has
•	Documented most or all cost-share procedures, and they are appropriate
•	Procedures that are not known to staff
•	Procedures that are inconsistently adhered to
•	An inconsistent accounting system for entering and reporting on cost share
•	A cost-share plan","The organization has
•	Complete and appropriately documented cost-share procedures
•	Procedures known and understood by staff
•	Procedures consistently adhered to, reviewed and updated
•	A consistent accounting system for entering and reporting on cost share
•	A cost-share plan"
Financial Management,To assess the quality of the organization’s financial system and policies and procedures and the staff’s knowledge of the system.,Financial Sustainability,"To assess the organization’s finance strategy and its ability to secure a diversified revenue base, to generate reserves and to sustain its operations without donor funds.","organization’s budget, annual financial statements, strategic plan, finance strategy (business plan)","The organization has
•	Full dependence on one external donor
•	No unrestricted funds
•	Not enough liquidity to pay all outstanding financial obligations
•	No documented finance strategy","The organization has
•	Almost full dependence on external donor funds (more than one donor)
•	Limited unrestricted funds
•	Not enough liquidity to pay all outstanding financial obligations
•	A finance strategy that is not fully documented","The organization has
•	A somewhat diversified funding base, but is too reliant on restricted income
•	Limited reserves to operate without donor grants
•	Enough liquidity to pay all outstanding financial obligations
•	A documented finance strategy that is not fully in line with the strategic plan and is not reviewed regularly","The organization has
•	A diversified funding base with strong stakeholder relationships
•	Income-generating activities and/or unrestricted sources of income
•	Enough liquidity to pay all outstanding financial obligations
•	Enough reserves to run for a few months without any donor funding
•	A written policy for building/maintaining reserves
•	A documented finance strategy in line with the strategic plan and reviewed regularly"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Strategic Planning,To assess the organization’s ability to realize its mission and goals by reviewing its strategic plan.,strategic plan,"The organization has
•	No strategic plan","The organization has
•	A basic strategic plan that does not reflect its vision, mission and values
•	A plan that is not based on an analysis of strengths and weaknesses, the external environment and clients’ needs
•	A plan that does not include priorities, measurable objectives or clear strategies
•	Not used the plan for management decisions or operational planning
•	No process for regularly reviewing the plan
•	Not defined its resource needs","The organization has
•	A comprehensive, written strategic plan that reflects its mission, vision and values
•	Based the plan on a review of strengths and weaknesses, the external environment and clients’ needs
•	Included priorities, measurable objectives and clear strategies
•	Not used the plan for management decisions or operational planning
•	No process for regular reviews
•	Not defined resource needs or does not have a corresponding budget","The organization has
•	A comprehensive, written strategic plan that reflects its mission, vision and values
•	Based the plan on a review of strengths and weaknesses, the external environment and clients’ needs
•	Included priorities and measurable objectives
•	Referred to the plan for management decisions and operational planning
•	Regularly reviewed the plan
•	Clear resource needs and a corresponding budget"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Resource Mobilization,To assess the organization’s ability to identify and capitalize on new business opportunities through grants and partnerships.,"business development plan, resource development plan, funding strategy","The organization has
•	No business plan or funding strategy
•	Not estimated its future resource needs
•	Taken no steps to identify additional local, national or international resources or opportunities to support its programs and activities, either directly or through partnerships
•	Not created a communication strategy for resource mobilization","The organization has
•	A business plan and has taken preliminary steps to estimate future resource needs based on an analysis of its programs and/or its strategic plan
•	Identified additional resource providers or opportunities and their interests and potential for support
•	Not created a communication strategy to attract resources","The organization has
•	A business plan based on an analysis of its programs and resource needs and the activities in its strategic plan
•	Identified resource providers
•	Created a communication strategy for resource mobilization
•	Received support from at least one source or has a clear plan for fundraising or proposal writing
•	Insufficient funds to support its activities","The organization has
•	A business plan based on an analysis of its programs and resource needs and the activities in its strategic plan
•	Identified resource providers
•	Created a communication strategy for resource mobilization
•	Successfully bid for resources from one or more sources
•	Sufficient funds to support its activities"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Operational Plan Development,"To assess the contents, approval and reviews of the annual operational plan.",operational plan,"The organization has
•	No operational plan","The organization has
•	An annual operational plan
•	Included goals, measurable objectives and strategies, but no timelines, responsibilities or indicators
•	Not linked the operational plan to project or program workplans and budgets
•	Not developed the operational plan with staff participation
•	Not set dates for quarterly reviews
•	Not submitted the plan on time to HQ or donors (if required)","The organization has
•	An annual operational plan
•	Included goals, measurable objectives, strategies, timelines, responsibilities and indicators
•	Linked the plan to project/program workplans and budgets
•	Not developed the operational plan with staff participation
•	No dates for quarterly reviews
•	Not submitted the plan on time to HQ or donors (if required)","The organization has
•	An annual operational plan
•	Included goals, measurable objectives, strategies, timelines, responsibilities and indicators
•	Linked the plan to program/project workplans and budget
•	Developed the plan with staff participation
•	Set dates for quarterly reviews
•	Submitted the plan on time to HQ or donors (if required)"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Communication Strategy,"To assess the comprehensive, completeness and effectiveness of the organization’s communication strategy.","communication strategy, sample USAID-funded and non-USAID-funded publications","The organization has
•	No strategy for identifying audiences, channels, materials, and dissemination for promotion of technical/best practice innovation and overall achievements
•	No one assigned responsibility for developing/overseeing communication strategy and products (written, oral and/or online)
•	No process/tools for testing the materials/messages
•	No branding/marking policies or procedures for documents or equipment","The organization has
•	An incomplete strategy, lacking objectives, responsibility, timelines and dissemination mechanisms
•	Assigned responsibility for communication strategy development
•	No process/tools for testing materials/messages
•	Developed branding/marking policies for projects as required by USAID but does not have an organizational branding/marking policy","The organization has
•	A complete communication strategy,
•	Tasked staff member(s) with communication strategy management including documentation oversight
•	A process for testing materials/messages and revising based on test results
•	Developed its own branding policy (including appropriate USAID branding/marking requirements) and oriented staff, but it is inconsistently adhered to
•	Created templates for documents and a style guide","The organization has
•	A comprehensive communication strategy
•	Tasked staff member(s) with communication strategy management, including documentation development and oversight
•	A process for testing and revising materials/messages based on test results
•	Developed its own branding policy (including appropriate USAID branding/marking requirements), oriented staff, and instituted a system to monitor compliance
•	Created templates and a style guide and trained staff on their use"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Change Management,"To assess the organization’s sustainability and relevance by reviewing its systems and processes for responding to internal or external emerging situations, reviewing programs and analyzing needs.",policy review plan or timeline,"The organization has
•	No process for responding to internal changes (staffing, leadership and budget issues)
•	No process for planning for or responding to external changes (government policies or donor priorities/funding)","The organization has
•	Basic processes for reviewing internal changes, such as policy reviews or the funding environment
•	No process for planning for or responding to external changes, such as regular reviews of the operational plan and budget monitoring
•	Inconsistently involved staff in reviewing the effectiveness of new/revised management systems and policies
•	Significant delays or problems encountered in response to change","The organization has
•	Established processes for reviewing internal change
•	Processes for planning for and responding to external change
•	Consistently involved staff in reviewing the effectiveness of new/revised management systems and policies, processes, programs
•	Few delays or major problems encountered in response to change","The organization has
•	Established effective and consistent routines for planning and reviewing and responding to internal and external change
•	Consistently involved staff in reviewing the effectiveness of new/revised management systems and policies
•	Systems for monitoring whether changes are implemented and lead to improvements
•	Ways to gauge staff comfort with the way change is introduced and addressed"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Knowledge Management,"To assess the organization’s ability to link with other organizations (government, national, international, community, technical, academic) and its system for sharing knowledge, experiences, technical expertise and best practices with staff.","listing of association memberships and linkages with external organizations, staff reports on meetings attended, organizational newsletters","The organization has
•	No technical linkages with other organizations to share best practices or program experiences
•	No process for ensuring staff are continuously updated on best practices","The organization has
•	Basic technical linkages with other organizations to share best practices or program experiences
•	Staff who are updated on best practices, but not regularly
•	No process for ensuring learning is applied to the program or shared with stakeholders","The organization has
•	Essential and appropriate links with other organizations to share best practices or program experiences
•	A process for routine staff sharing of best practices and lessons learned
•	Not applied new knowledge or best practices to ongoing programs or shared them with stakeholders
•	Has no process for reviewing/integrating new/current knowledge and best practices in annual planning","The organization has
•	Active links with appropriate organizations to share best practices or program experiences
•	A process for routinely sharing technical expertise and experiences with staff and stakeholders
•	Applied best practices to its program and shares information with stakeholders and appropriate staff
•	Annual planning that includes reviews and integration of new/current knowledge and best practices"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Stakeholder Involvement,To assess the organization’s ability to coordinate programs and to involve stakeholders.,"list of key stakeholders, stakeholder report","The organization has
•	No information about key stakeholders and service providers in the same geographic and/or technical areas in which it operates","The organization has
•	Some information about stakeholders and service providers in the same geographic and/or technical areas in which it operates
•	Information that is incomplete and out of date","The organization has
•	Current information about stakeholders working in the same geographic and technical areas
•	Identified where stakeholders are, what they do, their expectations and how/if they can collaborate
•	No regular meetings with stakeholders","The organization has
•	Complete and up-to-date information about all stakeholders working in the  same geographic and technical areas and, if appropriate, collaborative agreements  with them
•	Regular (at least annually) meetings with stakeholders to review relevant activities and their impact on the organization’s area of operations"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Internal Communication,To review the organization’s approach to internal communication.,staff questionnaires (Facilitator’s Guide),"The organization has
•	Limited communication between and among management and staff
•	Few structured opportunities to exchange ideas or to discuss management, program or technical issues
•	Not encouraged staff ideas or input
•	Staff who feel uncomfortable raising issues","The organization has
•	Limited communication between and among management and staff
•	Opportunities for discussions between and among management and staff, but they are rarely used
•	Sometimes encouraged staff ideas and input
•	Staff who feel uncomfortable raising issues","The organization has
•	Open communication between and among management and staff
•	Regular opportunities for discussing management, program or technical areas
•	Encouraged staff ideas and input
•	Staff who are comfortable raising issues but find it more difficult to raise challenging ones","The organization has
•	Open communication between and among management and staff
•	Regular opportunities for exchanging ideas or discussing management, program or technical issues
•	Consistently encouraged and incorporated staff ideas and input
•	Staff who feel comfortable initiating discussions, contributing ideas and raising issues"
Organizational Management,"To assess the organization’s planning, management of external relations and information and means of identifying and capitalizing on new opportunities.",Decision-Making,"To assess how the organization makes decisions, who is involved, and how decisions are communicated.",staff questionnaires (Facilitator’s Guide),"The organization has
•	Not included staff in the decision- making process
•	Not communicated or explained decisions that affect the organization
•	Staff who feel excluded","The organization has
•	An unclear process for seeking and including staff ideas in the decision- making process
•	Inconsistently communicated or explained decisions to staff
•	Staff who feel they play a minor role in making decisions","The organization has
•	Encouraged staff ideas but seldom incorporated them into decisions
•	Communicated and explained decisions to staff
•	Not fully included staff participation in making decisions","The organization has
•	Sought, respected and incorporated staff ideas into decision-making
•	Communicated and explained decisions to staff
•	Staff who feel a sense of responsibility, accountability and ownership of decision- making"
Program Management,"To assess the organization’s ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.",Donor Compliance,To assess the organization’s capability to respond to USG donor requirements; thereby ensuring the effective implementation of its USG-funded programs.,"copy of the USAID A-122 Cost Principles, staff interviews (Facilitator’s Guide)","The organization
•	Is not familiar with the terms of the cooperative agreement, A-122 Cost Principles (i.e., reasonable, allocable, and allowable) or Standard Provisions
•	Has not listed and assigned responsibility for all donor requirements","The organization
•	Is knowledgeable of the terms of the cooperative agreement, A-122 Cost Principles and Standard Provisions
•	Is aware of donor requirements, has assigned responsibility, but does not have systems in place to ensure compliance","The organization
•	Is knowledgeable of the terms of the cooperative agreement, A-122 Cost Principles and Standard Provisions
•	Has systems in place to ensure compliance with donor requirements
•	Does not comply consistently","The organization
•	Is knowledgeable of the terms of the cooperative agreement, A-122 Cost Principles, and Standard Provisions
•	Has systems in place to ensure compliance with donor requirements
•	Complies consistently"
Program Management,"To assess the organization’s ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.",Sub-grant Management,"To assess the organization’s ability to subcontract with other organizations, and monitor technical implementation and financial management of sub-grants.","sub-grants management and monitoring manual or written procedures, partner agreements, staff interviews, USAID approval documentation, technical reports from grantees, supervisory trip reports, financial reports from grantees, financial tracking of grantees","The organization has
•	No policies and procedures to guide sub-grant management and support
•	No formal sub-grants with partner organizations","The organization has
•	Some documented sub-grant management policies and procedures, but these are incomplete or non- compliant
•	Formal sub-grants with some partners, but they have not been oriented on their responsibilities
•	Sub-grantees who do not submit regular financial and technical reports in accordance with their agreements
•	Basic policies and guidance for supervising and supporting sub- grantees
•	No regularly scheduled supervisory visits","The organization has
•	Most or all documented and compliant sub-grant management policies and procedures
•	Formal sub-grants with all partners; some sub-grantees are oriented on their responsibilities
•	Sub-grantees who do not consistently submit financial and technical reports
•	Policies and guidance for supervising and supporting sub-grantees, but not all staff are aware of or utilize the guidance
•	Conducted infrequent supervisory visits","The organization has
•	Complete and appropriate sub-grant management policies and procedures
•	Formal sub-grants with all partners, and they are oriented on their responsibilities
•	Sub-grantees who submit all required reports in a timely manner
•	Solid policies and guidance for providing regularly scheduled supervision and support
•	Regular supervisory visits to assess inventory and financial records and implementation; feedback is shared with partners and used for follow up visits."
Program Management,"To assess the organization’s ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.",Technical Reporting,"To review the organization’s ability to document technical activities and results for donors, program planning and program development.","most recent technical report, workplan","The organization
•	Does not document quantitative or qualitative progress on its workplan or its objectives and strategies, facilitating factors or barriers
•	Does not identify lessons learned and/or best practices
•	Does not report on donor, government or other program indicators
•	Does not use information to review/revise its strategy with staff and stakeholders","The organization
•	Documents qualitative progress on its workplan, including objectives and strategies, facilitating factors and barriers
•	Does not identify lessons learned or best practices
•	Does not report on government, donor or other program indicators
•	Does not use information to review/revise strategies with staff or stakeholders","The organization
•	Documents both qualitative and quantitative workplan progress and reviews objectives and strategies, facilitating factors and barriers
•	Documents lessons learned and best practices
•	Reports on donor, government or other program indicators
•	Does not use information to review/revise strategies with staff and stakeholders","The organization
•	Documents both quantitative and qualitative workplan progress, and reviews objectives and strategies, facilitating factors and barriers
•	Documents lessons learned and best practices
•	Reports on donor, government and other program indicators
•	Uses information to review/revise strategies with staff and stakeholders"
Program Management,"To assess the organization’s ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.",Referral,"To assess the organization’s systems and processes for directing clients to other providers, ensuring those providers offer quality services and monitoring clients’ access to services.","referral plan, memoranda of understanding with referral sites, referral reports or data","The organization has
•	Not mapped referral sites
•	Not established links for referring clients for HIV and AIDS treatment or other health/support services","The organization has
•	Mapped referral sites
•	No agreements with government, private or NGO health or social service providers to ensure that clients requiring HIV and AIDS treatment or other health or support services have access to them","The organization has
•	A clear referral process with government, private or NGO health or social service providers to ensure that clients requiring HIV and AIDS treatment or other health or support services have access to them
•	A process for following up clients and monitoring quality of care
•	Clients who are not always appropriately referred or who encounter problems at referral sites","The organization has
•	A clear referral process system and strong linkages with government, private or NGO health or social service providers to ensure that clients requiring HIV and AIDS treatment or other health or support services have access to them
•	A process for following up clients and monitoring quality of care
•	Clients who are consistently referred to appropriate locations and who do not encounter problems at referral sites"
Program Management,"To assess the organization’s ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.",Community Involvement,To ensure the organization’s programs respond to and address community needs by reviewing how they involve community members in planning and decision-making.,"community participation and/ or mobilization plan; if not documented, discuss approach with appropriate staff","The organization
•	Orients communities on its programs, but does not actively include them
•	Does not involve affected families and communities in planning and decision-making","The organization
•	Orients communities on its program and discusses its approach with community leaders
•	Inconsistently involves affected families and communities in planning and decision-making","The organization
•	Orients communities and leaders on its program and actively engages them in the activities
•	Involves affected families and communities in planning and decision- making and sometimes integrates their ideas into program design and revision","The organization
•	Orients communities and leaders on its program and actively engages them in activities and service provision
•	Involves affected families and communities in planning and decision- making and consistently integrates their views into program design and revision"
Program Management,"To assess the organization’s ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.",Culture and Gender,To evaluate the organization’s systems for assessing culture and gender issues among the populations it serves and for integrating cultural and gender concerns into its programs.,"community or client assessments, program plans","The organization does
•	Not consider local cultural or gender issues in programming
•	Not have tools for assessing local cultural or gender issues
•	Not discuss the role of local culture and gender norms in program design with staff","The organization does
•	Consider local cultural or gender issues in its programming
•	Not have tools for assessing local cultural or gender issues relevant to programs
•	Discuss the role of local culture and gender norms in program design with staff","The organization does
•	Consider local cultural or gender concerns in its programming
•	Have tools for assessing cultural and gender issues
•	Have guidelines for culturally relevant and gender based approaches and programming
•	Not train staff on how to use the tools or findings","The organization does
•	Consider local culture or gender concerns in its programming
•	View culture and gender as integral to program success
•	Have tools for assessing cultural and gender issues
•	Have guidelines for culturally relevant and gender-based approaches and programming
•	Train staff on the tools, interpreting findings and incorporating elements of culture and gender in program design"
Project Performance Management,"To assess the organization’s systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.",Field Oversight Activities,To assess the organization’s systems for overseeing field activities.,"field oversight policies and procedures, trip reports, management meeting minutes","The organization
•	Has no formal procedures and processes for overseeing field administrative and programmatic operations","The organization
•	Has some documented field oversight policies, but they are incomplete
•	Reviews annual workplans and progress reports, but irregularly
•	Monitors compliance with program and donor requirements","The organization
•	Has most or all documented oversight policies and procedures
•	Approves annual workplans on a regular basis
•	Monitors compliance with program and donor requirements
•	Reviews and approves field-level HR and finance manuals
•	Reviews quarterly project M&E data and progress reports
•	Provides technical and administrative guidance
•	Makes irregular supervision visits","The organization
•	Has documented and comprehensive field oversight policies and procedures
•	Approves workplans and provides feedback
•	Reviews data and progress reports and provides feedback
•	Monitors compliance with program and donor requirements
•	Reviews and approves field-level HR and finance manuals
•	Provides technical and administrative guidance
•	Makes at least semi-annual supervisory visits, and results are discussed with management and technical staff"
Project Performance Management,"To assess the organization’s systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.",Standards,To assess the organization’s application of recognized standards in service delivery.,"standards/guidelines used, monitoring reports","The organization has
•	No standards for service delivery","The organization has
•	Minimal standards for service delivery
•	Not made staff aware of the standards
•	Not applied the standards appropriately","The organization has
•	A good system for using standards for service delivery
•	Made staff aware of the standards
•	Appropriately trained staff to apply and monitor the standards
•	A process for monitoring standards, but it is not applied comprehensively","The organization has
•	Solid standards for service delivery
•	Made staff aware of the standards and has trained staff to apply them
•	A process for monitoring adherence to standards that is consistently adhered to
•	A process for improving adherence to standards"
Project Performance Management,"To assess the organization’s systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.",Quality Assurance,To assess the organization’s ability to identify and address gaps in meeting performance standards.,quality monitoring tools (could be part of M&E tools),"The organization has
•	Unclear performance expectations
•	No process for monitoring the quality of services it provides, either through program evaluations, quality monitoring or supervision","The organization has
•	Performance expectations, but no process to assess performance against standards","The organization has
•	Performance expectations and a process that assesses performance against standards
•	Taken client satisfaction into consideration
•	Included an analysis of gaps or weaknesses
•	Not developed an improvement plan","The organization has
•	Performance expectations and a system that assesses performance against standards
•	Taken client satisfaction into consideration
•	Analyzed gaps or weaknesses to identify root causes
•	Identified a plan to address root causes
•	An improvement plan to address gaps or weaknesses
•	Studied and incorporated the results into the program"
Project Performance Management,"To assess the organization’s systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.",Supervision,To assess the organization’s systems for supportive review of and feedback on staff performance and program activities.,"supervision plan or guidelines, supervisors’ reports","The organization has
•	Not developed a supervision plan or approach
•	Not clarified supervisory responsibilities
•	Not trained supervisors or provided tools
•	No process for carrying out supervision","The organization has
•	A supervision plan but no approach
•	Detailed supervisory responsibilities, but they are not followed
•	Not trained supervisors or provided tools
•	An unclear process for supervision
•	No process for reviewing findings with staff and management","The organization has:
•	A clear supervision plan with a supportive approach
•	Detailed supervisory responsibilities that are followed
•	Trained supervisors and provided them with tools
•	Logistical and program barriers to providing regular supervision
•	No process for documenting or discussing findings with staff and management","The organization has
•	A detailed supervision plan with a supportive approach
•	Detailed supervisory responsibilities that are followed
•	Trained supervisors and provided them with tools
•	A mechanism for carrying out visits according to the timeline
•	A process for documenting and discussing findings with staff and management
•	A process for following up and addressing issues"
Project Performance Management,"To assess the organization’s systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.",Monitoring and Evaluation (M&E),"To assess how the organization collects and uses data to plan, monitor and evaluate its programs.","M&E plan, M&E tools, M&E reports","The organization has
•	No M&E plan
•	No process for monitoring program implementation
•	Not identified indicators to monitor
•	No system for data processing: tools, trained data collectors, data quality review or a plan for analyzing and using information","The organization has
•	A basic M&E plan
•	Identified outcome indicators
•	Developed data collection tools
•	Trained staff in M&E
•	No system for regularly collecting, analyzing or reporting data
•	No review of data quality
•	No process for reporting progress against targets","The organization has
•	A well-defined M&E plan
•	Process and outcome indicators
•	Trained staff to collect data, and data collection is consistently done
•	A process for consistently using data/findings for follow-up monitoring, support or planning and reporting against targets
•	No process for sharing results with field and stakeholders","The organization has
•	A well-defined M&E plan
•	Process and outcome indicators
•	A process for using data for follow-up monitoring, program adjustments, planning and determining progress towards achieving targets
•	A process for data quality review
•	A strategy for reporting on progress against targets and involving staff and data collectors in reviewing and using findings
•	A strategy for regularly sharing information with stakeholders, including the community"
